UniProt_Accession	UniProt_Entry_Name
P31941	ABC3A_HUMAN
Q9UH17	ABC3B_HUMAN
Q9NRW3	ABC3C_HUMAN
Q96AK3	ABC3D_HUMAN
Q8IUX4	ABC3F_HUMAN
Q9HC16	ABC3G_HUMAN
Q6NTF7	ABC3H_HUMAN
O95831	AIFM1_HUMAN
O00170	AIP_HUMAN
O43823	AKAP8_HUMAN
Q9ULX6	AKP8L_HUMAN
Q9NYF8	BCLF1_HUMAN
Q13895	BYST_HUMAN
Q96HQ2	C2AIL_HUMAN
Q9BRK5	CAB45_HUMAN
P27824	CALX_HUMAN
Q9NXV6	CARF_HUMAN
Q8WUQ7	CATIN_HUMAN
Q9H7E9	CH033_HUMAN
P10809	CH60_HUMAN
Q9UNE7	CHIP_HUMAN
Q8TCG1	CIP2A_HUMAN
O75153	CLU_HUMAN
Q96BR5	COA7_HUMAN
P46109	CRKL_HUMAN
Q16531	DDB1_HUMAN
Q92841	DDX17_HUMAN
Q92499	DDX1_HUMAN
Q9NR30	DDX21_HUMAN
Q7L2E3	DHX30_HUMAN
Q9H2U1	DHX36_HUMAN
Q08211	DHX9_HUMAN
Q9NSV4	DIAP3_HUMAN
Q9UBS4	DJB11_HUMAN
P31689	DNJA1_HUMAN
O60884	DNJA2_HUMAN
Q96EY1	DNJA3_HUMAN
P25685	DNJB1_HUMAN
Q99615	DNJC7_HUMAN
Q99848	EBP2_HUMAN
Q15717	ELAV1_HUMAN
Q9NZB2	F120A_HUMAN
Q8NCA5	FA98A_HUMAN
Q96CS3	FAF2_HUMAN
P49327	FAS_HUMAN
Q13451	FKBP5_HUMAN
Q8TEQ6	GEMI5_HUMAN
Q9H936	GHC1_HUMAN
Q12849	GRSF1_HUMAN
Q9BQ67	GRWD1_HUMAN
Q58FF8	H90B2_HUMAN
Q7Z4Q2	HEAT3_HUMAN
Q9ULT8	HECD1_HUMAN
P31943	HNRH1_HUMAN
P55795	HNRH2_HUMAN
P31942	HNRH3_HUMAN
Q9BUJ2	HNRL1_HUMAN
Q1KMD3	HNRL2_HUMAN
P07910	HNRPC_HUMAN
P52597	HNRPF_HUMAN
P14866	HNRPL_HUMAN
O60506	HNRPQ_HUMAN
O43390	HNRPR_HUMAN
Q00839	HNRPU_HUMAN
Q9NZL4	HPBP1_HUMAN
P07900	HS90A_HUMAN
Q7Z6Z7	HUWE1_HUMAN
Q9NZI8	IF2B1_HUMAN
O00425	IF2B3_HUMAN
