UniProt_Accession	UniProt_Entry_Name	Gene_Symbol
A2A3N6	PIPSL_HUMAN	PIPSL
A2RRP1	NBAS_HUMAN	NBAS
A3KMH1	VWA8_HUMAN	VWA8
A6NHR9	SMHD1_HUMAN	SMCHD1
O00139	KIF2A_HUMAN	KIF2A
O00165	HAX1_HUMAN	HAX1
O00170	AIP_HUMAN	AIP
O00178	GTPB1_HUMAN	GTPBP1
O00193	SMAP_HUMAN	SMAP
O00217	NDUS8_HUMAN	NDUFS8
O00231	PSD11_HUMAN	PSMD11
O00232	PSD12_HUMAN	PSMD12
O00233	PSMD9_HUMAN	PSMD9
O00264	PGRC1_HUMAN	PGRMC1
O00303	EIF3F_HUMAN	EIF3F
O00311	CDC7_HUMAN	CDC7
O00399	DCTN6_HUMAN	DCTN6
O00410	IPO5_HUMAN	IPO5
O00411	RPOM_HUMAN	POLRMT
O00422	SAP18_HUMAN	SAP18
O00425	IF2B3_HUMAN	IGF2BP3
O00442	RTCA_HUMAN	RTCA
O00461	GOLI4_HUMAN	GOLIM4
O00469	PLOD2_HUMAN	PLOD2
O00471	EXOC5_HUMAN	EXOC5
O00483	CXFA4_HUMAN	COXFA4
O00487	PSDE_HUMAN	PSMD14
O00505	IMA4_HUMAN	KPNA3
O00566	MPP10_HUMAN	MPHOSPH10
O00567	NOP56_HUMAN	NOP56
O00571	DDX3X_HUMAN	DDX3X
O00622	CCN1_HUMAN	CCN1
O00629	IMA3_HUMAN	KPNA4
O00743	PPP6_HUMAN	PPP6C
O14519	CDKA1_HUMAN	CDK2AP1
O14530	TXND9_HUMAN	TXNDC9
O14545	TRAD1_HUMAN	TRAFD1
O14576	DC1I1_HUMAN	DYNC1I1
O14579	COPE_HUMAN	COPE
O14646	CHD1_HUMAN	CHD1
O14654	IRS4_HUMAN	IRS4
O14734	ACOT8_HUMAN	ACOT8
O14737	PDCD5_HUMAN	PDCD5
O14744	ANM5_HUMAN	PRMT5
O14802	RPC1_HUMAN	POLR3A
O14818	PSA7_HUMAN	PSMA7
O14929	HAT1_HUMAN	HAT1
O14965	AURKA_HUMAN	AURKA
O14974	MYPT1_HUMAN	PPP1R12A
O14979	HNRDL_HUMAN	HNRNPDL
O14980	XPO1_HUMAN	XPO1
O15042	SR140_HUMAN	U2SURP
O15067	PUR4_HUMAN	PFAS
O15078	CE290_HUMAN	CEP290
O15116	LSM1_HUMAN	LSM1
O15160	RPAC1_HUMAN	POLR1C
O15212	PFD6_HUMAN	PFDN6
O15226	NKRF_HUMAN	NKRF
O15234	CASC3_HUMAN	CASC3
O15269	SPTC1_HUMAN	SPTLC1
O15294	OGT1_HUMAN	OGT
O15347	HMGB3_HUMAN	HMGB3
O15355	PPM1G_HUMAN	PPM1G
O15371	EIF3D_HUMAN	EIF3D
O15372	EIF3H_HUMAN	EIF3H
O43143	DHX15_HUMAN	DHX15
O43148	MCES_HUMAN	RNMT
O43172	PRP4_HUMAN	PRPF4
O43175	SERA_HUMAN	PHGDH
O43237	DC1L2_HUMAN	DYNC1LI2
O43242	PSMD3_HUMAN	PSMD3
O43251	RFOX2_HUMAN	RBFOX2
O43264	ZW10_HUMAN	ZW10
O43318	M3K7_HUMAN	MAP3K7
O43324	MCA3_HUMAN	EEF1E1
O43347	MSI1H_HUMAN	MSI1
O43390	HNRPR_HUMAN	HNRNPR
O43395	PRPF3_HUMAN	PRPF3
O43432	IF4G3_HUMAN	EIF4G3
O43447	PPIH_HUMAN	PPIH
O43491	E41L2_HUMAN	EPB41L2
O43583	DENR_HUMAN	DENR
O43592	XPOT_HUMAN	XPOT
O43660	PLRG1_HUMAN	PLRG1
O43663	PRC1_HUMAN	PRC1
O43684	BUB3_HUMAN	BUB3
O43707	ACTN4_HUMAN	ACTN4
O43719	HTSF1_HUMAN	HTATSF1
O43765	SGTA_HUMAN	SGTA
O43776	SYNC_HUMAN	NARS1
O43809	CPSF5_HUMAN	NUDT21
O43818	U3IP2_HUMAN	RRP9
O43819	SCO2_HUMAN	SCO2
O43823	AKAP8_HUMAN	AKAP8
O43852	CALU_HUMAN	CALU
O43865	SAHH2_HUMAN	AHCYL1
O43913	ORC5_HUMAN	ORC5
O43920	NDUS5_HUMAN	NDUFS5
O60216	RAD21_HUMAN	RAD21
O60220	TIM8A_HUMAN	TIMM8A
O60232	ZNRD2_HUMAN	ZNRD2
O60264	SMCA5_HUMAN	SMARCA5
O60271	JIP4_HUMAN	SPAG9
O60282	KIF5C_HUMAN	KIF5C
O60343	TBCD4_HUMAN	TBC1D4
O60493	SNX3_HUMAN	SNX3
O60506	HNRPQ_HUMAN	SYNCRIP
O60563	CCNT1_HUMAN	CCNT1
O60568	PLOD3_HUMAN	PLOD3
O60573	IF4E2_HUMAN	EIF4E2
O60610	DIAP1_HUMAN	DIAPH1
O60613	SEP15_HUMAN	SELENOF
O60645	EXOC3_HUMAN	EXOC3
O60684	IMA7_HUMAN	KPNA6
O60716	CTND1_HUMAN	CTNND1
O60739	EIF1B_HUMAN	EIF1B
O60762	DPM1_HUMAN	DPM1
O60783	RT14_HUMAN	MRPS14
O60832	DKC1_HUMAN	DKC1
O60869	EDF1_HUMAN	EDF1
O60884	DNJA2_HUMAN	DNAJA2
O60925	PFD1_HUMAN	PFDN1
O60942	MCE1_HUMAN	RNGTT
O75150	BRE1B_HUMAN	RNF40
O75153	CLU_HUMAN	CLUH
O75165	DJC13_HUMAN	DNAJC13
O75190	DNJB6_HUMAN	DNAJB6
O75251	NDUS7_HUMAN	NDUFS7
O75306	NDUS2_HUMAN	NDUFS2
O75340	PDCD6_HUMAN	PDCD6
O75351	VPS4B_HUMAN	VPS4B
O75367	H2AY_HUMAN	MACROH2A1
O75369	FLNB_HUMAN	FLNB
O75380	NDUS6_HUMAN	NDUFS6
O75381	PEX14_HUMAN	PEX14
O75394	RM33_HUMAN	MRPL33
O75400	PR40A_HUMAN	PRPF40A
O75419	CDC45_HUMAN	CDC45
O75439	MPPB_HUMAN	PMPCB
O75489	NDUS3_HUMAN	NDUFS3
O75494	SRS10_HUMAN	SRSF10
O75531	BAF_HUMAN	BANF1
O75533	SF3B1_HUMAN	SF3B1
O75534	CSDE1_HUMAN	CSDE1
O75569	PRKRA_HUMAN	PRKRA
O75607	NPM3_HUMAN	NPM3
O75616	ERAL1_HUMAN	ERAL1
O75643	U520_HUMAN	SNRNP200
O75663	TIPRL_HUMAN	TIPRL
O75688	PPM1B_HUMAN	PPM1B
O75792	RNH2A_HUMAN	RNASEH2A
O75817	POP7_HUMAN	POP7
O75818	RPP40_HUMAN	RPP40
O75821	EIF3G_HUMAN	EIF3G
O75832	PSD10_HUMAN	PSMD10
O75879	GATB_HUMAN	GATB
O75880	SCO1_HUMAN	SCO1
O75934	SPF27_HUMAN	BCAS2
O75935	DCTN3_HUMAN	DCTN3
O75937	DNJC8_HUMAN	DNAJC8
O75940	SPF30_HUMAN	SMNDC1
O75947	ATP5H_HUMAN	ATP5PD
O75964	ATP5L_HUMAN	ATP5MG
O76021	RL1D1_HUMAN	RSL1D1
O76031	CLPX_HUMAN	CLPX
O76071	CIAO1_HUMAN	CIAO1
O76094	SRP72_HUMAN	SRP72
O94776	MTA2_HUMAN	MTA2
O94826	TOM70_HUMAN	TOMM70
O94903	PLPHP_HUMAN	PLPBP
O94906	PRP6_HUMAN	PRPF6
O94952	FBX21_HUMAN	FBXO21
O94979	SC31A_HUMAN	SEC31A
O94992	HEXI1_HUMAN	HEXIM1
O95059	RPP14_HUMAN	RPP14
O95071	UBR5_HUMAN	UBR5
O95163	ELP1_HUMAN	ELP1
O95168	NDUB4_HUMAN	NDUFB4
O95232	LC7L3_HUMAN	LUC7L3
O95239	KIF4A_HUMAN	KIF4A
O95251	KAT7_HUMAN	KAT7
O95260	ATE1_HUMAN	ATE1
O95278	EPM2A_HUMAN	EPM2A
O95299	NDUAA_HUMAN	NDUFA10
O95347	SMC2_HUMAN	SMC2
O95373	IPO7_HUMAN	IPO7
O95396	MOCS3_HUMAN	MOCS3
O95400	CD2B2_HUMAN	CD2BP2
O95707	RPP29_HUMAN	POP4
O95757	HS74L_HUMAN	HSPA4L
O95777	LSM8_HUMAN	LSM8
O95793	STAU1_HUMAN	STAU1
O95816	BAG2_HUMAN	BAG2
O95831	AIFM1_HUMAN	AIFM1
O95881	TXD12_HUMAN	TXNDC12
O95983	MBD3_HUMAN	MBD3
O96000	NDUBA_HUMAN	NDUFB10
O96006	ZBED1_HUMAN	ZBED1
O96008	TOM40_HUMAN	TOMM40
O96019	ACL6A_HUMAN	ACTL6A
P00338	LDHA_HUMAN	LDHA
P00367	DHE3_HUMAN	GLUD1
P00374	DYR_HUMAN	DHFR
P00390	GSHR_HUMAN	GSR
P00403	COX2_HUMAN	MT-CO2
P00492	HPRT_HUMAN	HPRT1
P01859	IGHG2_HUMAN	IGHG2
P02808	STAT_HUMAN	STATH
P04040	CATA_HUMAN	CAT
P04049	RAF1_HUMAN	RAF1
P04075	ALDOA_HUMAN	ALDOA
P04080	CYTB_HUMAN	CSTB
P04181	OAT_HUMAN	OAT
P04183	KITH_HUMAN	TK1
P04259	K2C6B_HUMAN	KRT6B
P04264	K2C1_HUMAN	KRT1
P04350	TBB4A_HUMAN	TUBB4A
P04406	G3P_HUMAN	GAPDH
P04637	P53_HUMAN	TP53
P04792	HSPB1_HUMAN	HSPB1
P04843	RPN1_HUMAN	RPN1
P04844	RPN2_HUMAN	RPN2
P05023	AT1A1_HUMAN	ATP1A1
P05089	ARGI1_HUMAN	ARG1
P05141	ADT2_HUMAN	SLC25A5
P05198	IF2A_HUMAN	EIF2S1
P05386	RLA1_HUMAN	RPLP1
P05387	RLA2_HUMAN	RPLP2
P05388	RLA0_HUMAN	RPLP0
P05455	LA_HUMAN	SSB
P05556	ITB1_HUMAN	ITGB1
P06454	PTMA_HUMAN	PTMA
P06576	ATPB_HUMAN	ATP5F1B
